ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD),type_of_engine,engine_capacity,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price (AUD)
3325689,domestic assembly,new car,sedan,0,white,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2022.0,Honda City RS 1.5 AT 2022 car,24251.06615,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.011092592539228693
3325692,domestic assembly,new car,sedan,0,red,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2022.0,Honda City L 1.5 AT 2022 car,22631.62934,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.010351851795905653
3325698,domestic assembly,new car,suv,0,white,cream,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2022.0,Honda CRV E 2022 car,40404.94827,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.018481481426545984
3325701,domestic assembly,new car,suv,0,black,black,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2022.0,Honda CRV G 2022 car,40485.92011,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.01851851846348343
3325702,domestic assembly,new car,suv,0,green,black,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2022.0,Honda CRV L 2022 car,40485.92011,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.01851851846348343
3346972,imported,new car,suv,0,black,black,5,7,Petrol	1.5 L,electronic fuel injection,automatic,fwd - front-wheel drive,7.0,mitsubishi,xpander,2022.0,Mitsubishi Xpander Premium 1.5 AT 2022,26234.87623,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,3.5e-05,0.011999999944196189
3347016,imported,new car,suv,0,brown,black,5,7,Petrol	1.5 L,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,mitsubishi,xpander,2022.0,Mitsubishi Xpander Premium 1.5 AT 2022,26234.87623,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,3e-05,0.011999999944196189
3347422,domestic assembly,new car,suv,0,red,black,5,5,Petrol	2.0 L,nan,automatic,fwd - front-wheel drive,7.0,mazda,cx5,2022.0,Mazda CX5 2.0 Luxury 2022 car,32348.25017,petrol,2.0,0.15079365079365079,0.09259259259259259,0.10638297872340426,3.5e-05,0.0147962962421217
3353959,imported,new car,sedan,0,red,black,4,5,Petrol	1.2 L,nan,automatic,fwd - front-wheel drive,,mitsubishi,attrage,2023.0,Mitsubishi Attrage 1.2 CVT 2023,18623.52325,petrol,1.2,0.0873015873015873,0.07407407407407407,0.10638297872340426,,0.008518518462927874
3354016,imported,new car,hatchback,0,red,black,5,5,Petrol	1.2 L,nan,automatic,fwd - front-wheel drive,,toyota,wigo,2023.0,Toyota Wigo 1.2 AT 2023 car,15546.59332,petrol,1.2,0.0873015873015873,0.09259259259259259,0.10638297872340426,,0.007111111054730757
3355108,imported,new car,sedan,0,white,black,4,5,Petrol	1.2 L,electronic fuel injection,manual,fwd - front-wheel drive,5.0,mitsubishi,attrage,2022.0,Mitsubishi Attrage 1.2 MT 2022,15384.64964,petrol,1.2,0.0873015873015873,0.07407407407407407,0.10638297872340426,2.5e-05,0.007037036980855859
3355127,imported,new car,sedan,0,red,black,4,5,Petrol	1.2 L,electronic fuel injection,automatic,fwd - front-wheel drive,5.0,mitsubishi,attrage,2022.0,Mitsubishi Attrage 1.2 CVT 2022,18825.95285,petrol,1.2,0.0873015873015873,0.07407407407407407,0.10638297872340426,2.5e-05,0.008611111055271497
3355148,imported,new car,suv,0,black,black,5,7,Petrol	1.5 L,electronic fuel injection,automatic,fwd - front-wheel drive,6.0,mitsubishi,xpander,2022.0,Mitsubishi Xpander Premium 1.5 AT 2022,26234.87623,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,3e-05,0.011999999944196189
3357176,domestic assembly,new car,sedan,0,black,black,4,5,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,city,2022.0,Honda City G 1.5 AT 2022 car,21417.05174,petrol,1.5,0.1111111111111111,0.07407407407407407,0.10638297872340426,,0.009796296241843921
3357423,imported,new car,4x4,0,orange,black,4,5,Diesel	2.4 L,nan,automatic,rfd - rear-wheel drive,,mitsubishi,triton,2023.0,Mitsubishi Triton 4x2 AT Mivec 2023,26315.84807,diesel,2.4,0.18253968253968253,0.07407407407407407,0.10638297872340426,,0.012037036981133637
3357466,imported,new car,sedan,0,silver,black,4,5,Petrol	1.2 L,nan,manual,fwd - front-wheel drive,,mitsubishi,attrage,2023.0,Mitsubishi Attrage 1.2 MT 2023,15182.22004,petrol,1.2,0.0873015873015873,0.07407407407407407,0.10638297872340426,,0.006944444388512237
3357935,domestic assembly,new car,crossover,0,orange,black,5,5,Petrol	1.4 L,nan,automatic,fwd - front-wheel drive,7.0,kia,seltos,2023.0,Kia Seltos Deluxe 1.4 AT 2023,25182.24231,petrol,1.4,0.10317460317460317,0.09259259259259259,0.10638297872340426,3.5e-05,0.011518518464009355
3358156,domestic assembly,new car,suv,0,green,black,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2023.0,Honda CRV L 2023 car,40485.92011,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.01851851846348343
3358166,domestic assembly,new car,suv,0,black,cream,5,7,Petrol	1.5 L,nan,automatic,fwd - front-wheel drive,,honda,crv,2023.0,Honda CRV E 2023 car,40404.94827,petrol,1.5,0.1111111111111111,0.09259259259259259,0.14893617021276595,,0.018481481426545984
3362608,domestic assembly,new car,crossover,0,red,black,5,8,Petrol	2.0 L,electronic fuel injection,automatic,rfd - rear-wheel drive,,toyota,innova,2023.0,Toyota Innova Venturer 2.0 AT 2023,34210.60249,petrol,2.0,0.15079365079365079,0.09259259259259259,0.1702127659574468,,0.015648148091683023
